GRUPPO
EDOARDO DINI IL CLAN DELL'ANTIVIRUS

DATA
01/12/2022

POST
https://youtu.be/x_oNg0rwZw0 [I GAY POSSONO AVERE DEI FIGLI ?]

COMMENTI
SenderA	[GIF]
SenderB	Si partorendo dal culo
SenderC	No! Non possono averli. Crescerli penso di si.
SenderD	@SenderC E IL DIRITTO DEL BAMBINO CHE FINE FA??
SenderE	Già e il diritto del bambino ad avere un padre e una madre che fine fa?
SenderF	Ionon sono daccordo
SenderG	D'accordo !?...però al contempo emergono anche alcune riflessioni che richiedono chiarezza: ad esempio adozioni, sia di bimbi orfani che abbandonati e sicuramente anche altro.
SenderC	Questo è da chiedere alla madre,e al padre che lo ha abbandonato. Penso che tutti i bambini hanno il diritto di vivere in un ambiente sano e amorevole.
SenderH	@SenderC la famiglia "tradizionale" non è certo una garanzia, anzi...
SenderC	@SenderH È quello che intendevo.
SenderH	@SenderC ho sottolineato!
SenderI	Adottino un cane invece di rompere i coglioni......
SenderL	Prima i diritti dei bambini!! Io sono alta 1.65 non sarò mai top model e se tu sei gay non puoi crescere un neonato! Punto  Si chiama natura umana Ma sapete che danno si fa a crescere un bambino in una famiglia senza figura paterna uomo e materna madre?
SenderM	a questa domanda,i gay stessi sanno che la risposta è no!Siamo libri,è tutto scritto nel DNA!Non è una malattia,è aver posto fede in questo dogma e i dogma non portano nulla di positivo.
SenderN	Nn sarete mai genitori si nasce
SenderO	Per fortuna che tra non molto l'uomo si estinguerà.. almeno avremo finito di vedere e sentire stronzate..
