GRUPPO
EDOARDO DINI IL CLAN DELL'ANTIVIRUS

DATA
17/11/2022

POST
https://www.ilprimatonazionale.it/primo-piano/vulve-pelouche-gender-bologna-tabooteca-249290/

COMMENTI
SenderA	@DELSENDER Dai ma fai la finta
SenderB	[LINK] [LINK] [LINK] [LINK] 
SenderC	@DELSENDER Di che paura @DELSENDER Evvivaaaaaaaa era ora porcamiseria via @DELSENDER Evvivaaaaaaaa
SenderD	Ma perché non le stuprano le maestrine? Così la smettono di trasferire le loro manie sessuali ai bambini. Migranti? Datevi da fare....
SenderE	Siamo allo schifo più totale, servono forse metodi più efficaci , questa 💩 sono le sciacquapadelle del sistema
SenderF	Bologna città rossa aperta alle schifezze più nefaste.
SenderD	@DELSENDER Eh vabbè..mica so tutti gay😆
SenderG	Fate schifo.....
SenderH	[VIDEO] W la patatina 🤣
SenderI	Indegne e indecenti quelle insegnanti che si prestano 🤬
SenderL	Fin quando questa società o noi popolo permetteremo tutto a questa gente sarà difficile riappropriarsi della propria cultura e dell'innocenza tipica dei bambini. Fa proprio inorridire sentire parlare questa gente pervertita che non ha proprio nulla di taboo quanto di perversione
SenderM	Vergognatevi se è vero lurido schifoso
SenderN	@DELSENDER Parole chiave!..VIVA LA Russia!
SenderO	Io sono di Bologna e mi sento offesa e umiliata da questo luridume.....e vogliamo parlare dei genitori? Cerebrolesi?
SenderP	Qui si sta andando oltre
